date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:35	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-618ad71f-fa874289799676b2;gz%22	https://wp.ditsolution.net/robots.txt		(from )
15:32:35	275080/275080	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20May%202024%2010:19:50%20GMT	https://wp.ditsolution.net/itsoft/new-it-consulting/	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/new-it-consulting/index.html	(from )
15:32:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20May%202024%2010:02:48%20GMT	https://wp.ditsolution.net/itsoft/new-it-consulting/r	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/new-it-consulting/r	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:36	110147/110147	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Feb%202024%2005:05:32%20GMT	https://wp.ditsolution.net/itsoft/wp-includes/css/dist/block-library/style.min.css?ver=6.4.4	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-includes/css/dist/block-library/style.min5352.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:37	2368/2368	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:14%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1707038774	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/contact-form-7/includes/css/styles919a.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:37	1440/1440	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202022%2006:39:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/plugins/preloader-plus/assets/css/preloader-plus.min.css?ver=2.2.1	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/plugins/preloader-plus/assets/css/preloader-plus.min77e6.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:37	493/493	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:14%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1707038774	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor919a.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:37	19693/19693	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:14%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1707038774	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min919a.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:38	13805/13805	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2004:25:26%20GMT	https://wp.ditsolution.net/itsoft/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.7.2	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/plugins/elementor/assets/css/frontend-legacy.minf3df.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:38	165666/165666	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2004:25:26%20GMT	https://wp.ditsolution.net/itsoft/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.7.2	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/plugins/elementor/assets/css/frontend.minf3df.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:38	87998/87998	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202024%2010:02:49%20GMT	https://wp.ditsolution.net/itsoft/new-it-consulting/Firefox/	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/new-it-consulting/Firefox/index.html	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:38	728/728	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202023%2006:55:28%20GMT	https://wp.ditsolution.net/itsoft/wp-content/uploads/elementor/css/post-8.css?ver=1693464928	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/uploads/elementor/css/post-8864b.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:39	32487/32487	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:14%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/widgets/css/widget-style-two.css?ver=1707038774	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/widgets/css/widget-style-two919a.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:39	31776/31776	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:14%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/widgets/css/widget-style-three.css?ver=1707038774	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/widgets/css/widget-style-three919a.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:39	155153/155153	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/widgets/css/widgets-style.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/widgets/css/widgets-style5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:39	60637/60637	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:39	26702/26702	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2004:25:29%20GMT	https://wp.ditsolution.net/itsoft/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.7.2	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minf3df.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:40	24694/24694	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202023%2010:26:29%20GMT	https://wp.ditsolution.net/itsoft/wp-content/uploads/elementor/css/post-7712.css?ver=1693477589	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/uploads/elementor/css/post-77129ce3.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:40	65324/65324	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:40	10198/10198	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202023%2010:26:29%20GMT	https://wp.ditsolution.net/itsoft/wp-content/uploads/elementor/css/post-7567.css?ver=1693477589	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/uploads/elementor/css/post-75679ce3.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:40	59034/59034	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/uploads/maxmegamenu/style.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/uploads/maxmegamenu/style5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:41	59118/59118	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-includes/css/dashicons.min.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-includes/css/dashicons.min5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:41	159515/159515	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202023%2007:35:22%20GMT	https://wp.ditsolution.net/itsoft/wp-content/themes/itsoft/assets/css/bootstrap.min.css?ver=6.4.4	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/themes/itsoft/assets/css/bootstrap.min5352.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:41	3020/3020	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/venobox/venobox.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/venobox/venobox5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:41	1183/1183	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/nivo-slider.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/nivo-slider5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:41	83545/83545	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/animate.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/animate5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:42	1333/1333	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/slick.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/slick5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
15:32:42	2887/2887	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202024%2009:26:16%20GMT	https://wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/owl.carousel.css?ver=1707038776	C:/My%20Web%20Sites/gsdffsdfg/wp.ditsolution.net/itsoft/wp-content/cache/min/1/itsoft/wp-content/themes/itsoft/assets/css/owl.carousel5fef.css	(from https://wp.ditsolution.net/itsoft/new-it-consulting/)
